ApplStandard,Brand,Cap,Cap (Second Drum),CEC Cold,CEC Cold (Second Drum),Labelled energy consumption (kWh/year),CEC_ (Second Drum),Cold Prog,Cold Prog (Second Drum),Cold Wat Cons,Cold Wat Cons (Second Drum),Combination,Combination (Second Drum),Conn_Mode,Conn_Mode (Second Drum),Country,delayStartMode,delayStartMode (Second Drum),Depth,Depth (Second Drum),DetergentType,DetergentType (Second Drum),Height,Height (Second Drum),Hot Wat Cons,Hot Wat Cons (Second Drum),internal_heater,internal_heater (Second Drum),Loading,Loading (Second Drum),MachineAction,MachineAction (Second Drum),Model No,Family Name,N-Standard,New SRI,New SRI (Second Drum),New Star,New Star (Second Drum),postProgenergy,postProgenergy (Second Drum),powerConsMode,powerConsMode (Second Drum),Prog Name,Prog Name (Second Drum),Sold_in,standbyPowerUsage,standbyPowerUsage (Second Drum),Submit_ID,SubmitStatus,Test Prog Time,Test Prog Time (Second Drum),Tot Wat Cons,Tot Wat Cons (Second Drum),Type,Type (Second Drum),WEI,WEI (Second Drum),Width,Width (Second Drum),ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL,Program Time,Program Time (Second Drum),Hot Water (L),Hot Water (L) (Second Drum),Cold Water (L),Cold Water (L) (Second Drum),Star Rating (old),Star Image Large,Star Image Large (Second Drum),Star Image Small,Star Image Small (Second Drum),Registration Number
AS/NZS 2040.2:2000 (Legacy),Haier,5,N/A,90,N/A,480,N/A,"Warm/cold, Large, Normal Wash",N/A,107.47,N/A,-,N/A,Dual,N/A,China,-,N/A,-,N/A,-,N/A,-,N/A,20.7,N/A,-,N/A,Top,N/A,Agitator,N/A,XQJ50 31A,,AS/NZS 2040.1:2005/Amdt 3:2010,1.59,N/A,1.5,N/A,-,N/A,-,N/A,"Warm/cold, Large, Normal wash",N/A,New Zealand,-,N/A,12656,Approved,60.0,N/A,128.17,N/A,Non-Drum,N/A,0.838,N/A,-,N/A,,,Single product class,Available,,,60.0,N/A,136.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ZCW0001
AS/NZS 2040.2:2000 (Legacy),INDESIT,5.5,N/A,230,N/A,240,N/A,-,N/A,75.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,0.0,N/A,-,N/A,Front,N/A,Drum,N/A,W93,,AS/NZS 2040.1:2005/Amdt 3:2010,3.5,N/A,3.5,N/A,-,N/A,-,N/A,"Cotton No 4, 40C",N/A,New Zealand,-,N/A,12841,Approved,91.0,N/A,75.0,N/A,Drum,N/A,0.72,N/A,-,N/A,,,Single product class,Available,,,90.0,N/A,76.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0002
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,N/A,266,N/A,277,N/A,-,N/A,54.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,0.0,N/A,-,N/A,Front,N/A,Drum,N/A,WE12,,AS/NZS 2040.1:2005/Amdt 3:2010,3.6,N/A,3.5,N/A,-,N/A,-,N/A,"Cotton No3, 40 C",N/A,New Zealand,-,N/A,12843,Approved,145.0,N/A,55.0,N/A,Drum,N/A,0.58,N/A,-,N/A,,,Single product class,Available,,,145.0,N/A,55.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0003
AS/NZS 2040.2:2000 (Legacy),INDESIT,6,N/A,133,N/A,327,N/A,-,N/A,57.0,N/A,-,N/A,Dual,N/A,Italy,-,N/A,-,N/A,-,N/A,-,N/A,11.0,N/A,-,N/A,Front,N/A,Drum,N/A,WD11,,AS/NZS 2040.1:2005/Amdt 3:2010,3.2,N/A,3.0,N/A,-,N/A,-,N/A,"No 2, 40 C",N/A,New Zealand,-,N/A,12844,Approved,122.0,N/A,68.0,N/A,Drum,N/A,0.6,N/A,-,N/A,,,Single product class,Available,,,120.0,N/A,72.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.png,,ZCW0004
AS/NZS 2040.2:2000 (Legacy),MALBER,6,N/A,-,N/A,231,N/A,-,N/A,56.7,N/A,-,N/A,Cold,N/A,Italy,-,N/A,545.0,N/A,-,N/A,850.0,N/A,0.5,N/A,-,N/A,Front,N/A,Drum,N/A,6,,AS/NZS 2040.1:2005/Amdt 3:2010,3.84,N/A,3.5,N/A,-,N/A,-,N/A,P3,N/A,"Australia,New Zealand",-,N/A,19116,Approved,120.0,N/A,57.2,N/A,Drum,N/A,0.673,N/A,595.0,N/A,,,Single product class,Available,,,120.0,N/A,57.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_3.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-3.5.png,,ZCW0007
AS/NZS 2040.2:2000 (Legacy),CANDY,5,N/A,-,N/A,654,N/A,-,N/A,62.3,N/A,Yes,N/A,Dual,N/A,Italy,-,N/A,-,N/A,Drum,N/A,-,N/A,0.5,N/A,-,N/A,Front,N/A,Drum,N/A,CB 103 TR,,AS/NZS 2040.1:2005/Amdt 3:2010,0.9468,N/A,1.0,N/A,-,N/A,-,N/A,"Program 1, Temp  90 C",N/A,New Zealand,-,N/A,21310,Approved,124.0,N/A,62.8,N/A,Drum,N/A,0.64,N/A,-,N/A,,,Single product class,Available,,,124.0,N/A,63.0,N/A,-,N/A,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.png,,ZCW0008
EE Amendment Regulations 2025 Schedule 2C,AWARD,8,-,-,0,292,0,-,-,-,0.0,No,-,Cold,-,Türkiye,Yes,-,527.0,0.0,Drum,-,845.0,0.0,-,0.0,Yes on the warm wash program only,-,Front,-,-,-,CW81402,,AS/NZS 2040.1:2005/Amdt 3:2010,4.138460382786601,0.0,4.0,0.0,0.00028,0.0,0.58,0.0,"Cotton 40 C, 1400 rpm",-,New Zealand,0.09,0.0,128946,Approved,240.0,0.0,0.0,0.0,Drum,-,0.57088,0.0,597.0,0.0,2120-05-20,,Single product class,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,240.0,0.0,68.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0141
EE Amendment Regulations 2025 Schedule 2C,AWARD,9,-,-,0,330,0,-,-,-,0.0,No,-,Cold,-,Türkiye,Yes,-,582.0,0.0,Drum,-,845.0,0.0,-,0.0,Yes on the warm wash program only,-,Front,-,-,-,CW91402,,AS/NZS 2040.1:2005/Amdt 3:2010,4.077812413951309,0.0,4.0,0.0,0.21,0.0,0.82,0.0,"Cotton Eco, 40 c",-,New Zealand,0.21,0.0,129113,Approved,240.0,0.0,0.0,0.0,Drum,-,0.59775,0.0,597.0,0.0,2120-05-25,,Single product class,Available,http://www.vestelinternational.com,http://www.awardappliances.co.nz,240.0,0.0,77.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_4_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-4.png,,ZCW0142
EE Amendment Regulations 2025 Schedule 2C,Midea,5.5,-,-,0,426,0,-,-,-,0.0,No,-,Dual,-,China,Yes,-,-,0.0,Non Drum,-,-,0.0,-,0.0,No,-,Top,-,Impeller,-,DMWM55G2,,AS/NZS 2040.1:2005/Amdt 3:2010,2.211132675430318,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Normal,-,New Zealand,0.3,0.0,130976,Approved,90.0,0.0,0.0,0.0,Non-Drum,-,0.7279,0.0,-,0.0,2120-07-23,,Single product class,Unavailable,,,90.0,0.0,78.0,0.0,-,0.0,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_2_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-2.png,,ZCW0143
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2024,SEIKI,12,-,-,-,1190,-,-,-,-,-,No,-,Dual,-,China,No,-,695.0,-,Non Drum,-,1065.0,-,-,-,Yes on the warm wash program only,-,Top,-,Impeller,-,SC-1200AU7TLW,,AS/NZS 2040.1:2005/Amdt 3:2010,1.5341254099832662,-,1.5,-,0.0,-,0.85,-,"Cotton, water level:Max, Temp:warm",-,"Australia,Fiji,New Zealand",0.85,-,128438,Approved,162.0,-,0.0,-,Non-Drum,-,0.8126,-,680.0,-,2030-09-01,,Single product class,Available,http://www.ayonz.com/,,162.0,-,174.0,-,-,-,N/A,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/EnergyStarRating_1.5_Star.eps,,https://reg.energyrating.gov.au/static/common/images/star_ratings_2014/Star-rating-1.5.png,,ACW1602
